;2018;;;2019;;2020;;;Total general
;SEXO;;;;;;;;
MUNICIPIO  EDAD;Hombre;Mujer;Indete.;Hombre;Mujer;Hombre;Mujer;Indete.;
AGUADAS;;;;;;;;;
45;2;;;;;;;;2
47;;;;;;1;;;1
49;1;;;;;;;;1
51;;;;;1;;;;1
54;1;;;;;;;;1
55;;;;1;;1;;;2
56;2;;;;1;1;;;4
59;;;;;;;1;;1
61;;;;1;;;;;1
64;1;;;;;;;;1
65;1;1;;;;1;;;3
67;1;;;;;;;;1
68;1;;;1;;1;;;3
70;;1;;1;1;;;;3
71;;;;1;;;1;;2
72;1;;;;;;;;1
74;;1;;;;;;;1
75;;1;;;1;;;;2
76;;1;;;1;;;;2
77;2;;;;;1;;;3
78;1;1;;;;;;;2
79;1;;;;;1;;;2
80;;;;;;1;;;1
81;;1;;1;;1;1;;4
82;;;;;1;;;;1
83;;;;;;;2;;2
84;1;;;1;;1;;;3
86;;;;;;;1;;1
87;;1;;2;;;;;3
88;;;;1;;;1;;2
89;;;;;1;;1;;2
91;;1;;;;1;1;;3
92;1;;;;;;;;1
MANIZALES;;;;;;;;;
< 1año;39;27;;49;36;38;22;;211
0;2;7;;2;8;2;2;;23
1;6;5;;9;7;1;8;;36
2;1;5;;2;3;2;5;;18
3;1;1;;3;1;1;4;;11
4;1;1;;1;;;2;;5
5;2;3;;;;;2;;7
6;1;1;;1;1;;3;;7
7;;1;;1;1;1;1;;5
8;1;3;;3;2;1;;;10
9;2;3;;;;1;;;6
10;;1;;;1;2;;;4
11;1;3;;;1;;1;;6
12;2;2;;1;;4;;;9
13;;;;;;;1;;1
14;1;;;;1;3;1;;6
15;3;3;;3;1;3;1;;14
16;3;3;;6;1;4;1;;18
17;5;2;;6;3;4;1;;21
18;4;2;;6;;5;1;;18
19;2;3;;10;1;2;1;;19
20;11;5;;11;6;6;1;;40
21;9;2;;5;4;5;2;;27
22;13;2;;4;2;10;2;;33
23;6;2;;7;3;6;3;;27
24;10;4;;8;1;13;2;;38
25;7;3;;5;3;10;4;;32
26;6;2;;4;2;8;3;;25
27;9;1;;4;2;3;;;19
28;10;3;;7;2;6;6;;34
29;7;5;;6;8;8;2;;36
30;6;1;;6;3;11;4;;31
31;12;;;3;2;7;;;24
32;7;3;;6;2;8;6;;32
33;9;4;;6;4;5;4;;32
34;7;4;;11;3;8;1;;34
35;7;8;;6;2;7;6;;36
36;10;7;;8;2;3;4;;34
37;4;6;;8;3;6;1;;28
38;3;5;;5;4;8;1;;26
39;6;1;;7;9;7;2;;32
40;6;2;;5;6;6;8;;33
41;10;6;;8;6;4;9;;43
42;4;4;;3;6;10;5;;32
43;8;4;;6;5;9;3;;35
44;8;5;;9;8;10;8;;48
45;6;8;;10;5;2;8;;39
46;8;10;;9;5;11;8;;51
